Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
"activeBlockPrompt","","Block prompt","","",,"([DECEA3]Active[-]) {0}","","([DECEA3]Aktiv[-]) {0}","([DECEA3]Activo[-]) {0}","([DECEA3]Actif/-ive[-]) {0}","([DECEA3]Attivo[-]) {0}","([DECEA3]有効[-]) {0}","([DECEA3]활성화[-]) {0}","([DECEA3]Akt.[-]) {0}","([DECEA3]Ativo[-]) {0}","([DECEA3]Активн.[-]) {0}","([DECEA3]Etkin[-]) {0}","（[DECEA3]应用[-]）{0}","（[DECEA3]活躍[-]） {0}"
"dewCollectorEmpty","UI","Use Prompt","","",,"[57B9FF]{0}[-] Open {1} ([DECEA3]Empty[-])","","[57B9FF]{0}[-]  Öffne {1} ([DECEA3]Leer[-])","[57B9FF]{0}[-]  Abierto {1} ([DECEA3]Vacío[-])","[57B9FF]{0}[-]  Ouvrir le {1} ([DECEA3]vide[-])","[57B9FF]{0}[-]  apre {1} ([DECEA3]vuoto[-])","[57B9FF]{0}[-] で{1}を開く([DECEA3]空[-])","[57B9FF]{0}[-] 로 {1} 열기 ([DECEA3]비었음[-])","[57B9FF]{0}[-]  Otwórz: {1} ([DECEA3]pusto[-])","[57B9FF]{0}[-]  Abre {1} ([DECEA3]Vazio[-])","[57B9FF]{0}[-] : открыть ({1}) ([DECEA3]Пусто[-])","[57B9FF]{0}[-]  {1} Aç ([DECEA3]Boş[-])","[57B9FF]{0}[-]  打开 {1}（[DECEA3]空的[-]）","[57B9FF]{0}[-]  開啟{1}（[DECEA3]空[-]）"
"dewCollectorHasDirtyWater","UI","Use Prompt","","",,"[57B9FF]{0}[-] Open {1} ([CABE21]Water[-])","","[57B9FF]{0}[-]  Öffne {1} ([CABE21]Wasser[-])","[57B9FF]{0}[-]  Abierto {1} ([CABE21]Agua[-])","[57B9FF]{0}[-]  Ouvrir le {1} ([CABE21]eau[-])","[57B9FF]{0}[-]  apre {1} ([CABE21]acqua[-])","[57B9FF]{0}[-] で{1}を開く([CABE21]水[-])","[57B9FF]{0}[-] 로 {1} 열기 ([CABE21]물[-])","[57B9FF]{0}[-]  Otwórz: {1} ([CABE21]woda[-])","[57B9FF]{0}[-]  Abre {1} ([CABE21]Água[-])","[57B9FF]{0}[-] : открыть ({1}) ([CABE21]Вода[-])","[57B9FF]{0}[-]  {1} Aç ([CABE21]Su[-])","[57B9FF]{0}[-]  打开 {1}（[CABE21]水[-]）","[57B9FF]{0}[-]  開啟{1}（[CABE21]水[-]）"
"dewCollectorHasWater","UI","Use Prompt","","",,"[57B9FF]{0}[-] Open {1} ([00ADD8]Water[-])","","[57B9FF]{0}[-]  Öffne {1} ([00ADD8]Wasser[-])","[57B9FF]{0}[-]  Abierto {1} ([00ADD8]Agua[-])","[57B9FF]{0}[-]  Ouvrir le {1} ([00ADD8]eau[-])","[57B9FF]{0}[-]  apre {1} ([00ADD8]acqua[-])","[57B9FF]{0}[-] で{1}を開く ([00ADD8]水[-])","[57B9FF]{0}[-] 로 {1} 열기 ([00ADD8]물[-])","[57B9FF]{0}[-]  Otwórz: {1} ([00ADD8]woda[-])","[57B9FF]{0}[-]  Abre {1} ([00ADD8]Água[-])","[57B9FF]{0}[-] : открыть ({1}) ([00ADD8]Вода[-])","[57B9FF]{0}[-]  {1} Aç ([00ADD8]Su[-])","[57B9FF]{0}[-]  打开 {1}（[00ADD8]水[-]）","[57B9FF]{0}[-]  開啟{1}（[00ADD8]水[-]）"
"inactiveBlockPrompt","","Block prompt","","",,"[FF7518](Inactive)[-] {0}","","[FF7518](Inaktiv) [-]{0}","[FF7518](Inactivo) [-]{0}","[FF7518](Inactif/-ive)[-] {0}","[FF7518](Inattivo)[-] {0}","[FF7518](無効) [-]{0}","[FF7518](비활성화)[-] {0}","[FF7518](Nieakt.)[-] {0}","[FF7518](Inativo) [-]{0}","[FF7518](Неактивн.)[-] {0}","[FF7518](Etkin değil) [-]{0}","[FF7518]（未应用）[-]{0}","[FF7518]（不活躍）[-] {0}"
"itemTooltipFocusedOne","UI","Use Prompt","","",,"[57B9FF]{0}[-] Collect: [DECEA3]{1}[-]","","[57B9FF]{0}[-] Sammle: [DECEA3]{1}[-]","[57B9FF]{0}[-] Recoger: [DECEA3]{1}[-]","[57B9FF]{0}[-] pour récupérer : [DECEA3]{1}[-]","[57B9FF]{0}[-] Ottieni: [DECEA3]{1}[-]","[57B9FF]{0}[-] 回収： [DECEA3]{1}[-]","[57B9FF]{0}[-] 수집: [DECEA3]{1}[-]","[57B9FF]{0}[-] Zdobądź: [DECEA3]{1}[-]","[57B9FF]{0}[-] coletar: [DECEA3]{1}[-]","[57B9FF]{0}[-] Собрать: [DECEA3]{1}[-]","[57B9FF]{0}[-] Topla: [DECEA3]{1}[-]","[57B9FF]{0}[-] 收集：[DECEA3]{1}[-]","[57B9FF]{0}[-] 收集：[DECEA3]{1}[-]"
"itemTooltipFocusedSeveral","UI","Use Prompt","","",,"[57B9FF]{0}[-] Collect: {2} of {1}","","[57B9FF]{0}[-] Sammle: {2} von {1}","[57B9FF]{0}[-] Recogido: {2} de {1}","[57B9FF]{0}[-] pour récupérer : {2} sur {1}","[57B9FF]{0}[-] Ottieni: {2} di {1}","[57B9FF]{0}[-] 回収： {2} / {1}","[57B9FF]{0}[-] 수집: {1}의 {2}","[57B9FF]{0}[-] Zdobądź: {2} z {1}","[57B9FF]{0}[-] coletar: {2} de {1}","[57B9FF]{0}[-] Собрать: {2} из {1}","[57B9FF]{0}[-] Topla: {2}/{1}","[57B9FF]{0}[-] 收集：{2} /{1}","[57B9FF]{0}[-] 收集：{2}的{1}"
"lootEntity","UI","Use Prompt","","",,"[57B9FF]{0}[-] Search {1} [57B9FF](Untouched)","","[57B9FF]{0}[-] {1} durchsuchen [57B9FF](Unberührt)","[57B9FF]{0}[-] Registrar {1} [57B9FF](Intacto)","[57B9FF]{0}[-] Fouiller {1} [57B9FF](intact)","[57B9FF]{0}[-] Esamina {1} [57B9FF](Nuovo)","[57B9FF]{0}[-] {1}を調べる [57B9FF]（未使用）","[57B9FF]{0}[-] {1}[57B9FF](손대지 않은)[-] 검색","[57B9FF]{0}[-] Przeszukaj: {1} [57B9FF](nienaruszone)","[57B9FF]{0}[-] Buscar {1} [57B9FF](intocado)","[57B9FF]{0}[-]: обыскать тело ({1})[57B9FF] (нетронуто)","[57B9FF]{0}[-] Ara: {1} [57B9FF](Dokunulmamış)","[57B9FF]{0}[-] 搜索 {1}[57B9FF]（未触碰过）","[57B9FF]{0}[-] 搜索{1}[57B9FF]（未觸及）"
"lootItem","","Pick up prompt","","",,"Press [57B9FF]{0}[-] to pick up [DECEA3]{1}[-]","","Drücke [57B9FF]{0}[-], um [DECEA3]{1}[-] aufzuheben","Pulsa [57B9FF]{0}[-] para coger [DECEA3]{1}[-]","Appuyer sur [57B9FF]{0}[-] pour ramasser : [DECEA3]{1}[-]","Premi [57B9FF]{0}[-] per raccogliere [DECEA3]{1}[-]","[57B9FF]{0}[-]を押して[DECEA3]{1}[-]を拾う","[57B9FF]{0}[-]을(를) 눌러 [DECEA3]{1}[-] 집어들기","Przyciśnij [57B9FF]{0}[-], aby podnieść [DECEA3]{1}[-]","Aperte [57B9FF]{0}[-] para pegar [DECEA3]{1}[-]","Нажмите [57B9FF]{0}[-], чтобы подобрать предмет [DECEA3]{1}[-]","[DECEA3]{1}[-] Almak için [57B9FF]{0}[-] tuşuna bas","按下[57B9FF]{0}[-]拾取[DECEA3]{1}[-]","按下 [57B9FF]{0}[-] 撿起 [DECEA3]{1}[-]"
"lootTooltipEmpty","UI","Use Prompt","","",,"{1} [DECEA3](Empty)","","{1} [DECEA3](Leer)","{1} [DECEA3](Vacío)","{1} [DECEA3](Vider)","{1} [DECEA3](Vuoto)","{1} [DECEA3](を空にする)","{1} [DECEA3](빈 )","{1} [DECEA3](Puste)","{1} [DECEA3](Esvaziar)","{1}: [DECEA3](пусто)","{1} [DECEA3](Boş)","{1}  [DECEA3]- 空","{1} [DECEA3]空的"
