Key,File,Type,UsedInMenu,ContextMenu,Notes,english,german,french,spanish,italian,japanese,koreana,polish,portuguese,russian,turkish,schinese,tchinese
poi_progress_header,UI,Label,,,,"POI Scourge Progress","POI Scourge Fortschritt","Progression du Fléau POI","Progreso del Azote POI","Progresso Flagello POI","POIスカージ進行状況","POI 스커지 진행 상황","Postęp Plagi POI","Progresso do Flagelo POI","Прогресс Бича POI","POI Bela İlerlemesi","POI灾祸进度","POI災禍進度"
scourge_stats_current,UI,Label,,,,"Current: ","Aktuell: ","Actuel : ","Actual: ","Attuale: ","現在： ","현재: ","Obecnie: ","Atual: ","Текущий: ","Mevcut: ","当前： ","當前： "
scourge_stats_tier_label,UI,Label,,,,"Tier {0}:","Tier {0}:","Niveau {0}:","Nivel {0}:","Livello {0}:","ティア {0}:","티어 {0}:","Poziom {0}:","Nível {0}:","Тир {0}:","Seviye {0}:","等级 {0}:","等級 {0}:"
scourge_stats_no_data,UI,Label,,,,"No POI data for this biome.","Keine POI-Daten für dieses Biom.","Aucune donnée POI pour ce biome.","No hay datos de POI para este bioma.","Nessun dato POI per questo bioma.","このバイオームのPOIデータはありません。","이 생물 군계에 대한 POI 데이터가 없습니다.","Brak danych POI dla tego biomu.","Sem dados de POI para este bioma.","Нет данных POI для этого биома.","Bu biyom için POI verisi yok.","此生物群系没有POI数据。","此生物群系沒有POI數據。"
scourge_stats_world_total,UI,Label,,,,"WORLD TOTALS","WELT GESAMT","TOTAUX MONDIAUX","TOTALES MUNDIALES","TOTALI MONDIALI","ワールド合計","세계 합계","SUMY ŚWIATOWE","TOTAIS MUNDIAIS","ВСЕГО В МИРЕ","DÜNYA TOPLAMLARI","世界总计","世界總計"
scourge_stats_cleared,UI,Label,,,,"Cleared","Geräumt","Nettoyé","Despejado","Pulito","クリア済み","제거됨","Oczyszczone","Limpo","Зачищено","Temizlendi","已清除","已清除"
scourge_btn_open,UI,Button,,,,"OPEN","ÖFFNEN","OUVRIR","ABRIR","APRI","開く","열다","OTWÓRZ","ABRIR","ОТКРЫТЬ","AÇ","打开","打開"
scourge_btn_close,UI,Button,,,,"CLOSE","SCHLIESSEN","FERMER","CERRAR","CHIUDI","閉じる","닫기","ZAMKNIJ","FECHAR","ЗАКРЫТЬ","KAPAT","关闭","關閉"
pine_forest,biomes,Biome,,,,"Pine Forest","Kiefernwald","Forêt de pins","Bosque de pinos","Foresta di pini","松林","소나무 숲","Las Sosnowy","Floresta de Pinheiros","Сосновый лес","Çam Ormanı","松林","松林"
burnt_forest,biomes,Biome,,,,"Burnt Forest","Verbrannter Wald","Forêt brûlée","Bosque quemado","Foresta bruciata","焼け森","불탄 숲","Spalony Las","Floresta Queimada","Выжженный лес","Yanık Orman","燃烧森林","燃燒森林"
desert,biomes,Biome,,,,"Desert","Wüste","Désert","Desierto","Deserto","砂漠","사막","Pustynia","Deserto","Пустыня","Çöl","沙漠","沙漠"
snow,biomes,Biome,,,,"Snow","Schnee","Neige","Nieve","Neve","雪原","설원","Śnieg","Neve","Снег","Kar","雪原","雪原"
wasteland,biomes,Biome,,,,"Wasteland","Ödland","Terres désolées","Tierra baldía","Landa desolata","荒れ地","불모지","Pustkowia","Terra Devastada","Пустошь","Çorak Arazi","废墟","廢墟"
scourge_msg_clear_with_name,CSharp,Text,InGame,All,,"{0} cleared {1}{2}!","{0} hat {1}{2} gesäubert!","{0} a nettoyé {1}{2} !","{0} despejó {1}{2}!","{0} ha ripulito {1}{2}!","{0}が{1}{2}をクリアしました！","{0}님이 {1}{2}을(를) 정리했습니다!","{0} oczyścił {1}{2}!","{0} limpou {1}{2}!","{0} зачистил {1}{2}!","{0}, {1}{2} bölgesini temizledi!","{0} 清除了 {1}{2}！","{0} 清除了 {1}{2}！"
scourge_btn_hide_cleared,UI,Button,,,,"Hide Cleared","Gesäuberte verbergen","Cacher nettoyés","Ocultar despejados","Nascondi ripuliti","クリア済みを非表示","제거됨 숨기기","Ukryj oczyszczone","Ocultar limpos","Скрыть зачищенные","Temizlenenleri Gizle","隐藏已清理","隱藏已清理"
scourge_btn_show_cleared,UI,Button,,,,"Show Cleared","Gesäuberte anzeigen","Afficher nettoyés","Mostrar despejados","Mostra ripuliti","クリア済みを表示","제거됨 표시","Pokaż oczyszczone","Mostrar limpos","Показать зачищенные","Temizlenenleri Göster","显示已清理","顯示已清理"
scourge_btn_hide_uncleared,UI,Button,,,,"Hide Uncleared","Ungesäuberte verbergen","Cacher non nettoyés","Ocultar no despejados","Nascondi non ripuliti","未クリアを非表示","미제거 숨기기","Ukryj nieoczyszczone","Ocultar não limpos","Скрыть незачищенные","Temizlenmeyenleri Gizle","隐藏未清理","隱藏未清理"
scourge_btn_show_uncleared,UI,Button,,,,"Show Uncleared","Ungesäuberte anzeigen","Afficher non nettoyés","Mostrar no despejados","Mostra non ripuliti","未クリアを表示","미제거 표시","Pokaż nieoczyszczone","Mostrar não limpos","Показать незачищенные","Temizlenmeyenleri Göster","显示未清理","顯示未清理"
